carrier,total_carrier_amount
bdcdf7fd2de724f300da3a468afad156,1.0
0eaaada6738dc311dd82dd1a16414a11,2.0
132e2e915bc60da4276138cc4f819ed3,27105.0
31198cf68f6a7d064a70b8d0ec5707cb,0.0
39335014c6d1d398ac67562d14ef41b0,0.0
4b829c9487448d589271c723cdd6d97d,74.0
64a4b8940b9fa40afc40f8a5ba633271,130161.0
9ddde7bced29e33c03bc029a3d68699d,0.0
9fdcf3481a83837cd41f4f1849ac8b5a,0.0
b0436074f81a81837637234c67314125,6916.0
d2ee044db78f76ba2cab639a23cf1c25,0.0
f6fc916ba0f9d3c6a850167409daed6a,0.0
087b79b9b18eca349fad7631f4f346d3,0.0
191cc92dd01cc3fc4901ff6222f619f4,1.0
22919b329804558904efe36ba055a774,8.0
2fbdb41962098d774454195d6143106d,0.0
7eda51a0e4b3566643c8378ce2564d18,473.0
a7f45bfb9fc53b51dbcf7f40c9fcf95c,7869.0
eb9d5e2cc9226b62e84b2a0305f2e216,1.0
ed1d60ae1b6fd8dfd0c1aff3f4cd9e8a,0.0
0c8d15c6af8532e93be4fcd322b2aa9c,0.0
13b6e7786750d9e2e29fc87f27d6da7e,0.0
151e9eb77f80b2a2a968d6d7dcb508a5,0.0
3840b2259119b598ddb942de111fcc0f,0.0
5b424b42234f79cea5047e8a51bdccbe,1177.0
65027a7331d5bfc61c9a70fd3b3f1832,0.0
87c2abd3c9313ec9b37c0096dfa20c58,0.0
87c3e530674f106dfafe3c8c773377a1,0.0
9a53fab61c4281675ec08f6ec0ddfc65,386.0
c2b9e7156f48acef3c637e2e384e7a3e,0.0
ef2c58dab462527d548f05d3a5048e86,327.0
ff7eb6db81696dc0442db95cd2d486f2,0.0
016875a53dbb7731eb901a4c8b86e045,240922.0
06b15d3af713e318d123274a98d70bc9,3381.0
0feb836f2e6e7e40f239f72b22e7d7b4,900.0
10278d92e6921fb2eca3bf00948a103e,0.0
4fa2bd14756a5d2e5d42422365c0460e,6.0
4ff0eff360cbebb578ddfba519f1ba3e,0.0
7dd9535fca394af48a70b1e4e2950f4e,0.0
800b7f19620a7c704c8bd3b6d027910c,1432.0
8bf8eec2cd39f7bd9e8db12686a5fe00,0.0
b14e9dc16f408a2448279de6ad3de107,5120.0
bad0198c44b9caa207ece805c0076769,0.0
c7e77c6ff09e6658aaac4759164f80eb,5.0
d2255bc7db83e56ffae1800a2014b3ab,0.0
d98e25a08e6f2334e42bf87e385db0b2,0.0
da88d661c420b110ad9fccdf7932a57c,0.0
122d357a3e3df1b95355004e122bcf7a,13416.0
1b2f79d9acec12187650b22b2ac53bf8,44337.0
5fe323de45b446c28c105ac768bfcc3c,98.0
6d79886f6c4b04836d18cd461b51d659,18238.0
6fbb61989d56141f9881acff3e849bb5,336.0
